1929 ou 1989 ?	1929年还是1989年?
Folta explique ensuite, que décider de ne pas contester ces données et au lieu de cela de « publier une carte qui montre que Munich est carrément dans le Golfe du Mexique, en s'opposant à toutes autres données et aux déclarations quelque peu ironiques de millions d'Allemands, ne signifie pas que vous êtes brillant.	如果你选择不挑战这些数据，富尔塔继续说，而是“发布一份地图，标明慕尼黑位于墨西哥湾，一反其他数据和德国人的主张，这并不意味着你了不起。
Cela signifie que vous n'avez absolument aucune idée sur la question, ou plutôt que vous devez avoir une bonne raison de vouloir qu'une grande métropole allemande se trouve à deux heures de bateau de Tampa. »	这意味着你根本不了解情况，或者更有可能你出于某些理由希望德国大都市位于距离坦帕（Tampa）两小时船程的地方 。 ”
Folta a aussi quelque chose à dire au sujet de l'éditeur d'Ayyadurai.	富尔塔对阿亚杜拉伊的发行商也有话要说。
Si vous imprimez la carte mensongère indiquant l'emplacement de Munich, « qu'est-ce que cela nous révèle sur votre intégrité au titre de source d'information fiable ? »	如果你印制标明慕尼黑位置的假地图 ， “ 那这对你作为可靠信息源的诚信意味着什么 ？ ”
Dans un esprit de coopération scientifique, Folta a proposé de collaborer avec Ayyadurai sur les tests universitaires portant sur les échantillons de maïs et de soja génétiquement modifiés (et de fournir des contrôles appropriés), grâce aux analyses d'un laboratoire indépendant.	根据科学合作的精神，富尔塔提出与阿亚杜拉伊合作进行基于大学的转基因玉米和大豆样本（以及合适的控制组）检测，并由独立实验室进行分析。
Ayyadurai ayant décliné cette proposition, Folta effectuera donc lui-même ces examens.	阿亚杜拉伊拒绝了，因此富尔塔将靠自己进行检测。
Les données expérimentales seront bientôt publiées.	实验数据即将产生。
En attendant, si vous rêvez de manger des Sauerbraten et des Spaetzle, dirigez-vous donc vers l'Europe centrale, pas vers le Golfe du Mexique.	与此同时，如果你想吃德国醋焖牛肉和德国面疙瘩，你得去中欧而不是墨西哥湾。
	
Une morale sans dieu	无神的道德
La religion est-elle indispensable au sens moral ?	宗教对道德而言是必要的吗？
Nombreux sont ceux qui considèrent qu'il est scandaleux, voire blasphématoire, de nier l'origine divine de la moralité.	许多人认为，否定道德的神源是无法容忍、甚至是亵渎神灵的。
Soit un être divin a façonné notre sens moral, soit nous en avons hérité grâce aux enseignements d'une religion organisée.	要么某些神灵创造了我们的道德感，要么我们从有组织的宗教教诲那里得到了道德感。
Dans les deux cas, la religion nous est nécessaire pour contenir les vices de la nature.	无论哪种方式，我们都需要宗教来约束天性的邪恶。
Pour paraphraser Katherine Hepburn dans le film African Queen, en nous donnant une boussole morale la religion nous permet de nous hisser au-dessus de cette vilaine vieille Mère nature.	正如Katherine Hepburn在电影“非洲皇后”中所说的那样，宗教让我们摆脱邪恶的自然天性，给了我们道德指南针。
Pourtant la notion que le sens moral nous vient de Dieu soulève de nombreux problèmes.	但是，道德来自上帝的观点有重重问题。
L'un d'entre eux est que nous ne pouvons pas, sans sombrer dans la tautologie, affirmer simultanément que Dieu est bon et qu'il nous a donné le sens du bien et du mal.	一个问题是，我们无法在不陷入同义反复的情况下同时说上帝是好的，而且上帝给了我们善恶感。
Car alors nous sommes simplement en train de dire que Dieu répond à ses propres critères.	因为这样，我们就是在说上帝符合上帝的标准。
Un deuxième problème est qu'il n'existe pas de principe moral qui soit partagé par tous les peuples religieux, sans considération de leurs croyances spécifiques, mais pas par les agnostiques ou les athées.	第二个问题是，除了不可知论者和无神论者认同的道德准则之外，并不存在所有信神的人都认同的道德准则，而无论他们具体信仰。
En effet, les athées et les agnostiques ne se conduisent pas moins moralement que les croyants, même si leurs bonnes actions reposent sur des principes différents.	事实上，无神论者和不可知论者行为做事的道德水准并不比宗教信仰者要低，即使他们的善举建立在不同原则的基础之上。
Les non-croyants possèdent souvent un sens du bien et du mal aussi solide que les autres, ils ont lutté pour l'abolition de l'esclavage et contribué à d'autres mouvements visant à soulager la souffrance humaine.	不信仰者经常与任何人一样具有同样强烈和坚实的善恶感，而且还致力于废除奴隶制度并为其他减轻人类痛苦的事业贡献力量。
Le contraire est aussi vrai.	相反也是一样。
La religion a conduit les humains à commettre une longue litanie de crimes odieux, de l'ordre de Dieu donné à Moïse de massacrer les Madianites, hommes, femmes, garçons et filles non vierges, aux croisades, à l'Inquisition en passant par les innombrables conflits entre musulmans sunnites et chiites, jusqu'aux kamikazes convaincus que leur martyr les mènera droit au paradis.	宗教让人们犯下了大量可怕的罪行。 它们包括上帝的旨意让摩西屠杀米甸人，不论男女老少以及失去贞操的女孩、十字军东征、宗教裁判所、逊尼派和什叶派穆斯林之间无以计数的冲突以及那些相信殉教会让他们升入天堂的人肉炸弹。
La troisième difficulté qu'affronte le point de vue selon lequel le sens moral est enraciné dans la religion est que certains éléments de moralité semblent universels, malgré des différences doctrinales marquées parmi les principales religions du monde.	道德植根于宗教的第三个问题是，尽管世界主要宗教间的教义差异巨大，道德的某些成分看起来是普世的。
En fait, ces éléments s'étendent même à des cultures comme celle de la Chine, où la religion prend moins d'importance que des conceptions philosophiques comme le confucianisme.	在中国，与儒家学说等哲学观念相比，宗教要逊色一筹。 实际上，这些成分也甚至延伸到像中国那样的文化之中。
Il se peut qu'un créateur divin nous ait donné ces éléments universels au moment de la création.	可能是某个神圣的造物主在创世之时就把普世成份交给了我们。
Mais une explication alternative, en accord avec les faits de la biologie et de la géologie, est que durant des millions d'années nous avons développé une faculté morale qui génère des intuitions sur ce qui est bien et ce qui est mal.	然而，另一个符合生物学和地质学事实的替代解释是，在数百万年中，我们已经演进了一种可以产生有关对错的直觉的道德能力。
Pour la première fois, la recherche dans le domaine des sciences cognitives se basant sur des arguments théoriques émergeant d'une philosophie morale a permis de résoudre la vieille dispute sur l'origine et la nature de la moralité.	认知科学研究第一次在道德哲学引发而来的理论观点基础之上使得解决有关道德起源和性质等古老的争论成为可能。
Considérons les trois scénarios suivants.	考虑以下三个情形。
Pour chacun, remplacez le blanc par “obligatoire,” “acceptable” ou “interdit.”	对于每个情形，在空白处填上“有义务 ” 、 “可以”或者“禁止 ” 。
1.	1.
Un wagon fou est sur le point de renverser cinq personnes marchant sur la voie.	一个失控的货车车厢就要撞到正在轨道上行走的五个人了。
Un cheminot se tient près d'un interrupteur qui peut faire dévier le wagon sur une autre voie, tuant une personne, mais permettant aux cinq autres de rester en vie.	一个铁路工人站在道岔转换旁边。 那个道岔转换可以把车厢转到岔道上，撞死一个人，但是可以让五个人活下来。
Appuyer sur l'interrupteur est ______.	扳道岔是 _ _ _ _ _ _ 。
2.	2.
Vous passez à côté d'une fillette en train de se noyer dans une mare peu profonde, et il n'y a personne d'autre aux environs.	有一个小孩就要在浅池塘里被淹死，你正好路过而且是唯一在场的人。
Si vous prenez l'enfant, elle sera sauvée et votre pantalon sera fichu.	如果你抱起孩子，她就会活下来，但是你的裤子就损坏了。
